id	sentence	sentiment
7d2e44d1-d01c-4df5-a48e-69d0e91bbd4f	An uninspired plot and lackluster performances make this a movie to skip.	0
ae1793fe-6bae-4481-952d-d96171e17f1e	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
13dfabe0-b27f-4dc8-b3a0-1f2da62e7883	The story was predictable, but the acting was decent.	2
0a260cdc-eca8-4031-bc59-6b8608e954c9	This is one of the worst films I've seen in a long time.	0
31e711d9-9e89-41a9-9658-d645f36a2131	The film was average, with nothing particularly good or bad to say.	2
813fbbac-e152-416a-bf3c-1f5f25a601c0	This movie does a good job at keeping the audience entertained.	3
f46f9295-d0b0-4f5c-8d81-055aacd5c488	Some aspects of the film were interesting, but overall it disappointed.	1
f4de4c3f-5232-4897-ad09-1fed0956e592	The story was predictable, but the acting was decent.	2
2fc34704-2063-49b1-ba5a-e44ba42befb5	The story was predictable, but the acting was decent.	2
7d4681c7-5ee0-4607-bc77-2d52e467aa03	Nothing special, just another movie that fades into the background.	2
f7f7893b-9a18-4e96-9756-cc4c59f5c4df	It’s a typical movie that doesn’t stand out in any way.	2
d4c3379e-1736-4220-8e51-1d9bda826d07	The story was predictable, but the acting was decent.	2
585ac104-f0e5-47b0-90a1-bb5f857791aa	This is one of the worst films I've seen in a long time.	0
6a1894c7-c320-47fb-8ca5-60cac61b1157	A mediocre effort that struggles to find its footing in a crowded genre.	1
2e488f8d-d2d2-45d1-b0d7-2548fa524304	An uninspired plot and lackluster performances make this a movie to skip.	0
0e3c3d86-2a51-476f-901a-c7734ed61547	The movie had some great moments, even if it wasn’t perfect.	3
7cb8ffc3-79c9-4ed4-9fa2-290b4b061aef	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
59c8dfd5-99a0-4ad5-9f97-daee8ff783d2	The film was average, with nothing particularly good or bad to say.	2
dc76871d-effd-46d0-afee-0b96126b0053	The film had potential, but it was bogged down by poor pacing.	1
41e91757-7598-4b90-b0e5-0b8080c40a24	An uninspired plot and lackluster performances make this a movie to skip.	0
4f6713c0-9fac-4837-be5a-bbe45a6b578c	The film had potential, but it was bogged down by poor pacing.	1
9c8cc0fc-2ddd-4fc2-8aa9-492824a2b09b	A mediocre effort that struggles to find its footing in a crowded genre.	1
12895fea-655c-4785-b9c4-c0b5be8f4b91	An exceptional film that sets a new standard for the genre.	4
3ac74a18-7da8-48bc-a7c8-90d3bdd1054c	An outstanding performance by the cast in a truly remarkable movie.	4
8bed6375-4ce7-41c3-b6dd-abec1053490d	Nothing special, just another movie that fades into the background.	2
be912c20-2c99-4795-bd2f-fa10c7f2669e	The film was average, with nothing particularly good or bad to say.	2
d2b3f795-d36c-4e71-845f-7757fc6032bb	The film had potential, but it was bogged down by poor pacing.	1
09a84f93-1f57-4b65-9672-e7852be159e5	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
f7ea71a4-0e07-4265-93e2-5e8804dab39f	The story was predictable, but the acting was decent.	2
fc0c8e8c-b40b-485b-846d-7ec07da740ca	Terribly executed and painfully boring.	0
8315c01a-589d-4a1e-930f-9dd1556cba8b	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
299ac4d8-9706-4216-9529-6789dc7ec00f	Nothing special, just another movie that fades into the background.	2
0f5e9559-a12d-4f0d-a2c2-66ea7580a203	The movie is fine for a one-time watch but lacks any lasting impact.	2
46c7f9f4-f23d-4e54-9d53-c8265fc251e1	Terribly executed and painfully boring.	0
c0990600-6deb-4fd6-8b89-3d2f4eec7733	A complete waste of time, nothing redeeming about it.	0
8f6d05b7-64b7-4991-89f6-6e1c7cc6de8a	This is one of the worst films I've seen in a long time.	0
806ab164-49a0-43ff-bdc9-46aebfdf6218	It’s a typical movie that doesn’t stand out in any way.	2
79e6ce61-f04e-4633-be0c-5544138f7965	Some aspects of the film were interesting, but overall it disappointed.	1
b4aae8a9-9797-437c-9fe0-185241e0bf6d	Terribly executed and painfully boring.	0
7dfcdce5-7460-4499-a38a-80398aa8cb10	An uninspired plot and lackluster performances make this a movie to skip.	0
8de83534-3ce0-427a-bbcb-c3d7e9ce9b6c	A mediocre effort that struggles to find its footing in a crowded genre.	1
a00bb89e-9f44-471d-8216-7518714214bf	Despite a few strong performances, the plot ultimately falls flat.	1
3eabf208-940e-46c2-b44b-831f346a744b	Despite a few strong performances, the plot ultimately falls flat.	1
96d6bb2e-0b07-4d1b-b100-e0063b9d34a1	One of the best films of the year, an absolute must-see.	4
c59c6a50-e424-42de-a170-f81c49eeb4d1	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
3eb93a4c-33af-4499-bd01-fbd01a439ff0	The film was average, with nothing particularly good or bad to say.	2
0ccc218b-a2a3-4356-a1b6-fc5a1e83618a	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
c6e5dfb6-0c57-4529-800b-ec27c8893aef	Some aspects of the film were interesting, but overall it disappointed.	1
b0e1915d-3ccc-4d6f-bf7f-9a179c90939f	An exceptional film that sets a new standard for the genre.	4
438795af-cfa8-4657-b812-668883a24bae	An enjoyable film that offers a satisfying experience overall.	3
e49a1dee-6d67-455e-af2a-500b6096e02a	The movie is fine for a one-time watch but lacks any lasting impact.	2
53da25b7-80c3-4a33-bff4-82a78b104387	An uninspired plot and lackluster performances make this a movie to skip.	0
1ea34f59-b021-4133-bedd-ee6fdd54dbcd	The movie is fine for a one-time watch but lacks any lasting impact.	2
5217dac0-37e7-463c-87bc-59e2e5e935e3	The film had potential, but it was bogged down by poor pacing.	1
fc4fafed-2f94-4f24-8341-c7fb036a6608	Terribly executed and painfully boring.	0
fa7f1305-50ba-4a75-a302-fe5a2a631535	Terribly executed and painfully boring.	0
a40d9344-167b-4201-8ab9-da395cedf65d	Terribly executed and painfully boring.	0
d1f2a79d-37ba-4e20-99d3-89d997510517	An enjoyable film that offers a satisfying experience overall.	3
70a1c0ea-d818-49be-be46-9fa3419d0f6b	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
6c03ccf7-749c-41b4-8b73-d8135bd3df49	This movie does a good job at keeping the audience entertained.	3
385eb44c-0479-4545-ba87-449836536953	The film had potential, but it was bogged down by poor pacing.	1
ad2af4cb-1aca-41f0-8971-698732584778	The movie had some great moments, even if it wasn’t perfect.	3
95fa498e-b898-4134-9141-fcab4ee0fb5a	The movie is fine for a one-time watch but lacks any lasting impact.	2
be265f11-18ce-45d6-8a3b-52bd45d0384b	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
a19ab269-1d6b-461e-9992-1cb1bd3a871b	This is one of the worst films I've seen in a long time.	0
2413275b-00d9-4a67-916e-243b925dff99	A complete waste of time, nothing redeeming about it.	0
60c83122-4790-4a98-bef2-b61096147c4a	The film had potential, but it was bogged down by poor pacing.	1
fa0d69b8-b3a8-4849-99a0-07d0d4039361	The story was predictable, but the acting was decent.	2
4fae0fd3-42bc-4a09-8d54-a5c400f477cd	An outstanding performance by the cast in a truly remarkable movie.	4
70acdafe-73ba-4ec7-bb9b-3c8fd8ad3724	A complete waste of time, nothing redeeming about it.	0
1755c5f1-1170-4c61-bca0-85909b0a3f6f	This movie does a good job at keeping the audience entertained.	3
ca079212-6399-41b8-80c2-5e5bada7f53f	The story was predictable, but the acting was decent.	2
39080960-5476-4a08-ae75-a8a2850d657a	A mediocre effort that struggles to find its footing in a crowded genre.	1
ca2df5b3-cb3b-4681-8367-b5af1bfd6de3	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
94b71b23-d7e7-4ae9-a172-85caa14b91bf	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
ff39561b-6edc-47bf-9be0-63f949292115	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
09b91451-6f7a-4a58-b362-c05a6023c431	This movie does a good job at keeping the audience entertained.	3
ec850091-7864-4063-a43f-dd4ee80590fa	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
c0db5954-1a0d-4a3d-97c8-6a41e36f63b4	A mediocre effort that struggles to find its footing in a crowded genre.	1
ae789f87-90f2-4f38-93bf-2f70c93f1448	A visual masterpiece with a soundtrack that perfectly complements its epic scope.	4
d4893daa-c0d7-4736-a387-f46d6cf49d23	An uninspired plot and lackluster performances make this a movie to skip.	0
e6f89497-fa38-4ac5-a230-bd1ed83ee5c9	The film had potential, but it was bogged down by poor pacing.	1
7843796b-5d42-4959-89fd-a995d770aa80	The film had potential, but it was bogged down by poor pacing.	1
14f7e600-d3e1-40b2-b1e8-f5fdb8ff9fd5	It’s a typical movie that doesn’t stand out in any way.	2
bd00e4df-f7e5-4ecf-88a5-3274eff663e2	Some aspects of the film were interesting, but overall it disappointed.	1
830ea77d-6bfd-4a57-9d33-d1ec3599068a	A complete waste of time, nothing redeeming about it.	0
ee66336b-95b0-4e59-b51f-5e48dcae0afb	The story was predictable, but the acting was decent.	2
f72c98b9-b94f-41df-8478-8e970e37b2f8	A complete waste of time, nothing redeeming about it.	0
fba07349-875f-4999-9aeb-800da52b6397	An enjoyable film that offers a satisfying experience overall.	3
ab7b6c5c-57a3-4fd7-9641-847062d22fd5	A thrilling ride from start to finish, with enough twists to keep you engaged.	3
d0ac01b9-84dd-4bbf-9e47-7e697c20dba4	One of the best films of the year, an absolute must-see.	4
d60aedc6-706a-421c-9b59-0ecbaad010ac	This is one of the worst films I've seen in a long time.	0
4124885a-43f5-4904-bdd3-8d76009b7d47	The storyline is incoherent and the acting is abysmal.	0
926a7755-382e-44ea-b5a7-abb48e53b794	One of the best films of the year, an absolute must-see.	4
c33c98c0-36d3-4ae6-b96d-2ada653c5b00	It’s a typical movie that doesn’t stand out in any way.	2
312ffab7-400e-4c00-9bd7-b1d82d50e21d	This is one of the worst films I've seen in a long time.	0
79ae00fe-0acd-4991-abf3-b6149e8c658e	One of the best films of the year, an absolute must-see.	4
73f499d9-9a3c-4e33-9542-ad23e483e569	A visual masterpiece with a soundtrack that perfectly complements its epic scope.	4
2383aa99-7af3-452a-b156-90ddf818f102	The film had potential, but it was bogged down by poor pacing.	1
24ecc1e4-86ab-4441-8f5c-1ed87e70b99d	One of the best films of the year, an absolute must-see.	4
5dd89da4-977f-4b34-99bb-d4a19f358b56	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
a054baf5-848b-4b63-ab9d-3e3d74603b07	The movie had some great moments, even if it wasn’t perfect.	3
46d838c0-9731-40e3-8a9c-b709798d854d	It’s a typical movie that doesn’t stand out in any way.	2
c4542fcc-6d99-41c2-a8e6-e7fdb4a5fe10	An uninspired plot and lackluster performances make this a movie to skip.	0
02ce48d7-d92b-4239-ad93-1eeaa4e33a36	An uninspired plot and lackluster performances make this a movie to skip.	0
51f0e5ad-a8fd-49f4-bc92-4955439ce7cc	The film had potential, but it was bogged down by poor pacing.	1
43a6f257-8b5a-41e0-a855-7264e1ec649a	It’s a typical movie that doesn’t stand out in any way.	2
025abdea-820d-440d-baa3-0922c622200b	An outstanding performance by the cast in a truly remarkable movie.	4
b3378779-cbfe-4d9c-972d-2c7d60a24b4e	An outstanding performance by the cast in a truly remarkable movie.	4
89009135-2cd1-4e11-ba92-3db690f6185f	This movie does a good job at keeping the audience entertained.	3
6f6ee6ea-d042-4482-9974-d33f0faca5a9	The film was average, with nothing particularly good or bad to say.	2
f87f8aec-9c02-4857-9b50-80e256db6d13	It’s a typical movie that doesn’t stand out in any way.	2
47abfb8d-fdca-445e-acfc-16459a3d1285	A complete waste of time, nothing redeeming about it.	0
169dfcc0-bdd4-40c7-89ad-346b150d8d84	Nothing special, just another movie that fades into the background.	2
711eada5-b37a-487c-ad39-dab7213a81b4	The storyline is incoherent and the acting is abysmal.	0
612ecee6-ae5f-4c7c-aab3-27bbd5bfcaca	An uninspired plot and lackluster performances make this a movie to skip.	0
1fabbf39-eb0d-46fd-9e12-43fc2522cb48	It’s a typical movie that doesn’t stand out in any way.	2
8894a5ee-dd43-4d3f-a89c-db14cdbe19a6	Nothing special, just another movie that fades into the background.	2
0cefd3cd-9421-441e-a9bd-542965014285	The story was predictable, but the acting was decent.	2
e47a80e8-869d-48d1-9f31-8feb76c8625b	The film was average, with nothing particularly good or bad to say.	2
667f1dc5-07ab-44a4-a6bd-935cad87a498	An uninspired plot and lackluster performances make this a movie to skip.	0
bded2200-76ab-4e97-8715-e492bcda852c	The film had potential, but it was bogged down by poor pacing.	1
b54c1e02-c388-49b1-a3a0-2f1df11e671a	An enjoyable film that offers a satisfying experience overall.	3
bb095f6c-4389-4fca-9bdd-cf7170b4f3ad	A mediocre effort that struggles to find its footing in a crowded genre.	1
bcf36b5f-283b-46a5-8b69-ea4066bbc139	An enjoyable film that offers a satisfying experience overall.	3
df4b6129-42c0-456c-b9c0-45e983f096ef	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
55828e20-32be-4fe8-b280-95941cc8bc8a	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
47f3ee0c-595f-4b1c-9e14-2f5b1fc25611	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
82681cf9-ec37-4352-88fb-30dab77003a1	An enjoyable film that offers a satisfying experience overall.	3
d20f92fc-45e0-4e8b-9c5c-b7fb3ff29c8a	The movie had some great moments, even if it wasn’t perfect.	3
0b4bbdda-ea7b-45da-a7e4-28220b4a2f8c	An exceptional film that sets a new standard for the genre.	4
1ae3ecc8-bdbd-4699-8558-cf2b00acee91	One of the best films of the year, an absolute must-see.	4
16a4fa5f-c55e-4293-ba07-ee4c11ba9c48	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
c3f6070d-3759-4a9f-b047-75ea8ed72390	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
4579f589-589b-4648-8d69-3067b79520e1	The story was predictable, but the acting was decent.	2
c273c970-504a-4cf6-8fdf-bcbc5c079915	A mediocre effort that struggles to find its footing in a crowded genre.	1
8025aa9f-65b0-4e97-a93c-40c751ae80ef	A solid movie with strong performances, though not without its flaws.	3
658c0d56-e28b-4186-9b0c-793f13427621	The film was average, with nothing particularly good or bad to say.	2
24c7e2cf-3829-47e9-a1c5-6ed6b929ee3c	One of the best films of the year, an absolute must-see.	4
e0cc420c-dfe4-4961-9928-16f540dd7efe	A mediocre effort that struggles to find its footing in a crowded genre.	1
5390df98-ecd7-472a-96b5-39cff8dbd168	Despite a few strong performances, the plot ultimately falls flat.	1
098becce-8fa4-4ed5-a6ed-3e03f4a36496	It’s a typical movie that doesn’t stand out in any way.	2
8cb47256-e6e6-4671-aab2-ff63c25b4408	Terribly executed and painfully boring.	0
fdc16011-c265-45d3-a835-b5cccd201d32	A solid movie with strong performances, though not without its flaws.	3
d4e8709e-120c-40ba-8aee-f8caf2281fc1	An enjoyable film that offers a satisfying experience overall.	3
4104bf69-686c-438b-813f-ab69630be94c	A visual masterpiece with a soundtrack that perfectly complements its epic scope.	4
c945bbb1-cbc6-45a1-841d-1fe1de435968	A solid movie with strong performances, though not without its flaws.	3
86b30821-afda-4eb5-9cbc-c4b4660f1634	Nothing special, just another movie that fades into the background.	2
52dca011-59ab-4588-b978-8b764abc0c16	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
4255d0b8-1b6f-4618-834b-d03b431c0296	Nothing special, just another movie that fades into the background.	2
a2589839-11bf-4ddf-bf6f-86a93324c13c	The movie is fine for a one-time watch but lacks any lasting impact.	2
5c221c9e-a3ca-49ee-823d-519f151b7545	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
49b29fe8-65b8-432c-ada8-3d672ac9dcf1	This is one of the worst films I've seen in a long time.	0
48a3b264-09c1-4cb7-9dff-91cc69598ced	This is one of the worst films I've seen in a long time.	0
4c719524-7969-47e1-93cf-5a3b94c9f027	A complete waste of time, nothing redeeming about it.	0
0b181e8d-c544-4e13-98ad-2916535f657a	Some aspects of the film were interesting, but overall it disappointed.	1
25ed53d7-d1d7-4401-bf07-69bc28125fae	The movie fails to deliver on its promising premise, resulting in a forgettable experience.	1
88493cd8-55c7-41c3-b49d-17ac19e9bef9	A thrilling ride from start to finish, with enough twists to keep you engaged.	3
d41feed2-a34a-4ec5-8fe6-e7a9ed372973	An exceptional film that sets a new standard for the genre.	4
435b2594-0488-47cb-8f07-763cc96057dc	This is one of the worst films I've seen in a long time.	0
16ecdc62-84e3-40d8-9fa0-765441ea4614	Nothing special, just another movie that fades into the background.	2
7323c5e1-ddfc-4d84-b1f9-4b250684ac95	Some aspects of the film were interesting, but overall it disappointed.	1
fefd5a92-dbed-43e1-ac89-8c04a480a369	An outstanding performance by the cast in a truly remarkable movie.	4
ac0f1af5-1ed6-44e5-978c-75e76faacbfc	A thrilling ride from start to finish, with enough twists to keep you engaged.	3
21e9aaa1-40e4-413c-8217-ecd229f2f230	The story was predictable, but the acting was decent.	2
11fc566f-d27c-4cca-9191-1341f6f33913	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
cf25b976-b6e6-4bd0-9fc9-ba1de5b71af0	A solid movie with strong performances, though not without its flaws.	3
7d3fe8ac-725d-42e3-8417-b0cfbf2a3bf7	The film was average, with nothing particularly good or bad to say.	2
cde9edd3-ab8e-48f1-9e6c-3489ba8371ba	A solid movie with strong performances, though not without its flaws.	3
ffe9114b-7d52-46b6-b3b6-b52513754a0e	The film is a poignant exploration of love and loss, leaving the audience deeply moved.	4
1815d29e-a48a-4a79-a95c-f159299eae22	An exceptional film that sets a new standard for the genre.	4
b8e3444e-34a2-48ff-8750-2911df447e3f	A mediocre effort that struggles to find its footing in a crowded genre.	1
c3d56a4e-b7e8-4afd-b542-f6a69c35f405	This movie does a good job at keeping the audience entertained.	3
9f2cffb5-3d14-4607-b20c-78f1ca747a62	The film was average, with nothing particularly good or bad to say.	2
301822fd-1ccc-481e-817b-7185d9449ce0	A mediocre effort that struggles to find its footing in a crowded genre.	1
5a123442-262d-421e-b117-e8653dc603f3	It’s a typical movie that doesn’t stand out in any way.	2
70908f4e-294a-4562-af9d-9f718dd598b8	Nothing special, just another movie that fades into the background.	2
5653eb9b-b06d-4b38-a86d-c0c66926ef33	The movie is fine for a one-time watch but lacks any lasting impact.	2
27a1cd7f-c403-4efa-8222-0284abc69d01	A thrilling ride from start to finish, with enough twists to keep you engaged.	3
40218505-9f72-4f0d-97d0-2a72038cafbd	The movie is fine for a one-time watch but lacks any lasting impact.	2
77376569-5d90-4315-8af6-b5e4e1663f46	A visual masterpiece with a soundtrack that perfectly complements its epic scope.	4
59ae6317-6a1a-4b4a-9c82-3f55111967d6	An enjoyable film that offers a satisfying experience overall.	3
ae7c56b1-ad6c-4e7d-9755-22cf5319582f	The movie had some great moments, even if it wasn’t perfect.	3
7142e44d-053b-4699-9a71-8330f2ebd7af	A solid movie with strong performances, though not without its flaws.	3
fd01d244-92fe-48f9-b199-d1151b9669dd	It’s a typical movie that doesn’t stand out in any way.	2
16294bf7-72cb-4852-8243-f67596774ec0	The story was predictable, but the acting was decent.	2
7be441eb-c93c-4012-b1df-09a5b935e20a	The story was predictable, but the acting was decent.	2
50369fd4-525d-4c9f-a53b-cce57e3f69b7	The movie is fine for a one-time watch but lacks any lasting impact.	2
96c34aee-5715-4b37-b652-e138f90bfda8	This is one of the worst films I've seen in a long time.	0
ecdf2b00-d8da-46db-8914-aa5fa8cbaadf	Despite a few strong performances, the plot ultimately falls flat.	1
5d6c90fb-2417-4bf8-b11c-2b0f24efe19e	This movie does a good job at keeping the audience entertained.	3
f28f3086-5687-417a-bc2a-397839cae8bd	Nothing special, just another movie that fades into the background.	2
96190053-2f65-4d81-88ad-48754ea67fa2	The movie had some great moments, even if it wasn’t perfect.	3
a87688a2-670d-47e2-9db5-836c52926be9	A complete waste of time, nothing redeeming about it.	0
cde16ed4-8a0b-485e-8b73-aa88942e0528	Terribly executed and painfully boring.	0
55ed3b54-292d-4f07-bf04-3bade128dc32	This movie does a good job at keeping the audience entertained.	3
d5023f9a-c7f7-4aa0-848b-472dfc63da08	The movie had some great moments, even if it wasn’t perfect.	3
